"ID";"Aktywny (0 lub 1)";"Nazwa";"Kategoria nadrzędna";"Główna kategoria (0/1)"
"11";"1";"Programowanie";"0";"1"
"12";"1";"Języki programowania";"Programowanie";"0"
"13";"1";"IT i oprogramowanie";"0";"1"
"14";"1";"IT i oprogramowanie — inne";"IT i oprogramowanie";"0"
"15";"1";"Tworzenie stron internetowych";"Programowanie";"0"
"16";"1";"Wydajność biura";"0";"1"
"17";"1";"Microsoft";"Wydajność biura";"0"
"18";"1";"Certyfikacja IT";"IT i oprogramowanie";"0"
"19";"1";"Biznes";"0";"1"
"20";"1";"Zarządzanie projektami";"Biznes";"0"
"21";"1";"Projektowanie";"0";"1"
"22";"1";"Projektowanie graficzne i ilustrowanie";"Projektowanie";"0"
"23";"1";"Marketing";"0";"1"
"24";"1";"Marketing w mediach społecznościowych";"Marketing";"0"
"25";"1";"Systemy operacyjne";"IT i oprogramowanie";"0"
"26";"1";"Projektowanie stron internetowych";"Projektowanie";"0"
"27";"1";"Optymalizacja dla wyszukiwarek internetowych";"Marketing";"0"
"28";"1";"Narzędzia programistyczne";"Programowanie";"0"
"29";"1";"Sieć i bezpieczeństwo";"IT i oprogramowanie";"0"
"30";"1";"Fotografia i wideo";"0";"1"
"31";"1";"Projektowanie wideo";"Fotografia i wideo";"0"
"32";"1";"Analityka biznesowa i BI";"Biznes";"0"
"33";"1";"Rozwój osobisty";"0";"1"
"34";"1";"Kierownictwo";"Rozwój osobisty";"0"
"35";"1";"Marketing cyfrowy";"Marketing";"0"
"36";"1";"Komunikacja";"Biznes";"0"
"37";"1";"Analityka i automatyzacja marketingowa";"Marketing";"0"
"38";"1";"Programowanie mobilne";"Programowanie";"0"
"39";"1";"Narzędzia fotograficzne";"Fotografia i wideo";"0"
"40";"1";"Testowanie oprogramowania";"Programowanie";"0"
"41";"1";"Finanse i księgowość";"0";"1"
"42";"1";"Księgowość i rachunkowość";"Finanse i księgowość";"0"
"43";"1";"Tworzenie gier";"Programowanie";"0"
