"ID";"Aktywny (0 lub 1)";"Nazwa";"Kategoria nadrzędna"
"11";"1";"Programowanie";"Strona główna"
"12";"1";"Języki programowania";"Programowanie"
"13";"1";"IT i oprogramowanie";"Strona główna"
"14";"1";"IT i oprogramowanie — inne";"IT i oprogramowanie"
"15";"1";"Tworzenie stron internetowych";"Programowanie"
"16";"1";"Wydajność biura";"Strona główna"
"17";"1";"Microsoft";"Wydajność biura"
"18";"1";"Certyfikacja IT";"IT i oprogramowanie"
"19";"1";"Biznes";"Strona główna"
"20";"1";"Zarządzanie projektami";"Biznes"
"21";"1";"Projektowanie";"Strona główna"
"22";"1";"Projektowanie graficzne i ilustrowanie";"Projektowanie"
"23";"1";"Marketing";"Strona główna"
"24";"1";"Marketing w mediach społecznościowych";"Marketing"
"25";"1";"Systemy operacyjne";"IT i oprogramowanie"
"26";"1";"Projektowanie stron internetowych";"Projektowanie"
"27";"1";"Optymalizacja dla wyszukiwarek internetowych";"Marketing"
"28";"1";"Narzędzia programistyczne";"Programowanie"
"29";"1";"Sieć i bezpieczeństwo";"IT i oprogramowanie"
"30";"1";"Fotografia i wideo";"Strona główna"
"31";"1";"Projektowanie wideo";"Fotografia i wideo"
"32";"1";"Analityka biznesowa i BI";"Biznes"
"33";"1";"Rozwój osobisty";"Strona główna"
"34";"1";"Kierownictwo";"Rozwój osobisty"
"35";"1";"Marketing cyfrowy";"Marketing"
"36";"1";"Komunikacja";"Biznes"
"37";"1";"Analityka i automatyzacja marketingowa";"Marketing"
"38";"1";"Programowanie mobilne";"Programowanie"
"39";"1";"Narzędzia fotograficzne";"Fotografia i wideo"
"40";"1";"Testowanie oprogramowania";"Programowanie"
"41";"1";"Finanse i księgowość";"Strona główna"
"42";"1";"Księgowość i rachunkowość";"Finanse i księgowość"
"43";"1";"Tworzenie gier";"Programowanie"
"44";"1";"3D i animacja";"Projektowanie"
"45";"1";"Nauczanie i studia";"Strona główna"
"46";"1";"Język";"Nauczanie i studia"
"47";"1";"Nauka przez internet";"Nauczanie i studia"
"48";"1";"Styl życia";"Strona główna"
"49";"1";"Uroda i makijaż";"Styl życia"
"50";"1";"Prowadzenie firmy";"Biznes"
"51";"1";"Projektowanie i tworzenie baz danych";"Programowanie"
"52";"1";"Badanie danych";"Programowanie"
"53";"1";"Finanse";"Finanse i księgowość"
"54";"1";"Inwestycje i handel";"Finanse i księgowość"
"55";"1";"Zarządzanie stresem";"Rozwój osobisty"
"56";"1";"Sprzęt";"IT i oprogramowanie"
"57";"1";"Przemiana osobista";"Rozwój osobisty"
"58";"1";"Narzędzia projektowe";"Projektowanie"
"59";"1";"Handel elektroniczny";"Biznes"
"60";"1";"Operacje";"Biznes"
"61";"1";"Finanse i księgowość — inne";"Finanse i księgowość"
"62";"1";"Marketing mobilny i wideo";"Marketing"
"63";"1";"Fotografia komercyjna";"Fotografia i wideo"
"64";"1";"Kryptowaluty i Blockchain";"Finanse i księgowość"
"65";"1";"Zdrowie i fitness";"Strona główna"
"66";"1";"Fitness";"Zdrowie i fitness"
"67";"1";"Sprzedaż";"Biznes"
"68";"1";"Fotografia cyfrowa";"Fotografia i wideo"
"69";"1";"Tworzenie modeli i analiz finansowych";"Finanse i księgowość"
"70";"1";"Rozwój zawodowy";"Rozwój osobisty"
"71";"1";"Organizacja pracy";"Rozwój osobisty"
